gene	start	end	strand	alt_ann
mpneu10754	150114	150158	+	-1
mpneu24156	150040	150126	-	0
mpneu24155	150130	150138	-	-1
mpneu10755	150186	150218	+	-1
mpneu19046	150155	150199	-	-1
mpneu10756	150231	150293	+	0
mpneu00808	150268	150297	+	-1
mpneu19045	150215	150283	-	0
mpneu29129	149982	150290	-	0
mpneu10757	150309	150404	+	0
mpneu00809	150322	150447	+	0
mpneu29128	150294	150410	-	0
mpneu24154	150175	150417	-	0
mpneu10758	150417	150566	+	0
mpneu19044	150305	150478	-	0
mpneu24153	150427	150495	-	0
mpneu00810	150499	150540	+	-1
mpneu19043	150482	150520	-	-1
mpneu29127	150444	150533	-	0
mpneu05842	150566	150601	+	-1
mpneu00811	150574	150582	+	-1
mpneu10759	150588	150677	+	0
mpneu00812	150595	150624	+	-1
mpneu19042	150563	150619	-	-1
mpneu00813	150643	151248	+	MPN115
mpneu05843	150656	150712	+	-1
mpneu19041	150674	150703	-	-1
mpneu05844	150728	150751	+	-1
mpneu24152	150628	150741	-	0
mpneu05845	150764	150787	+	-1
mpneu05846	150788	150868	+	0
mpneu24151	150784	150858	-	0
mpneu05847	150875	150913	+	-1
mpneu19040	150818	150883	-	0
mpneu29126	150612	150899	-	0
mpneu05848	150917	150940	+	-1
mpneu29125	150924	150929	-	-1
mpneu29124	150930	150977	-	-1
mpneu19039	150977	151012	-	-1
mpneu05849	151022	151090	+	0
mpneu10760	151056	151082	+	-1
mpneu24150	150937	151077	-	0
mpneu05850	151100	151111	+	-1
mpneu05851	151121	151129	+	-1
mpneu05852	151130	151162	+	-1
mpneu24149	151159	151185	-	-1
mpneu10761	151254	151433	+	MPN116
mpneu00814	151267	151341	+	0
mpneu24148	151252	151275	-	-1
mpneu19038	151142	151318	-	0
mpneu29123	151152	151337	-	0
mpneu24147	151309	151344	-	-1
mpneu29122	151338	151385	-	-1
mpneu00815	151396	151428	+	-1
mpneu19037	151325	151417	-	0
mpneu10762	151437	151454	+	-1
mpneu00816	151444	151827	+	MPN117
mpneu05853	151457	151495	+	-1
mpneu24146	151408	151467	-	0
mpneu29121	151425	151484	-	0
mpneu10763	151488	151505	+	-1
mpneu05854	151505	151636	+	0
mpneu19036	151502	151546	-	-1
mpneu24145	151492	151563	-	0
mpneu10764	151620	151712	+	0
mpneu29120	151578	151661	-	0
mpneu24144	151684	151698	-	-1
mpneu05855	151703	151735	+	-1
mpneu29119	151665	151739	-	0
mpneu19035	151739	151750	-	-1
mpneu05856	151766	151819	+	-1
mpneu24143	151762	151791	-	-1
mpneu24142	151816	151860	-	-1
mpneu10765	151875	152036	+	0
mpneu05857	151877	151900	+	-1
mpneu00817	151891	151989	+	0
mpneu05858	151904	151909	+	-1
mpneu05859	151925	151969	+	-1
mpneu24141	151897	151953	-	-1
mpneu05860	151979	152005	+	-1
mpneu24140	151966	151998	-	-1
mpneu00818	151999	152031	+	-1
mpneu24139	152002	152022	-	-1
mpneu24138	152023	152043	-	-1
mpneu05861	152057	152074	+	-1
mpneu10766	152061	152273	+	0
mpneu05862	152090	152179	+	0
mpneu24137	152080	152163	-	0
mpneu29118	152154	152165	-	-1
mpneu00819	152170	152250	+	0
mpneu05863	152186	152263	+	0
mpneu24136	152233	152244	-	-1
mpneu05864	152264	152293	+	-1
mpneu24135	152260	152286	-	-1
mpneu00820	152293	152298	+	-1
mpneu05865	152300	152335	+	-1
mpneu24134	152290	152307	-	-1
mpneu10767	152319	152351	+	-1
mpneu05866	152345	152419	+	0
mpneu24133	152332	152382	-	-1
mpneu00821	152392	152604	+	0
mpneu10768	152397	152486	+	0
mpneu24132	152416	152427	-	-1
mpneu24131	152428	152478	-	-1
mpneu10769	152496	152522	+	-1
mpneu05867	152504	152527	+	-1
mpneu19034	151802	152512	-	MPN118
mpneu10770	152568	155300	+	MPN119
mpneu19033	152564	152569	-	-1
mpneu24130	152533	152580	-	-1
mpneu00822	152617	152637	+	-1
mpneu24129	152608	152691	-	0
mpneu00823	152695	152880	+	0
mpneu19032	152591	152752	-	0
mpneu29117	152655	152819	-	0
mpneu00824	152881	153006	+	0
mpneu05868	152930	153160	+	0
mpneu19031	152765	152950	-	0
mpneu00825	153037	153147	+	0
mpneu29116	153003	153134	-	0
mpneu24128	152974	153150	-	0
mpneu00826	153160	153192	+	-1
mpneu19030	153086	153169	-	0
mpneu00827	153196	153339	+	0
mpneu24127	153208	153222	-	-1
mpneu24126	153229	153246	-	-1
mpneu05869	153290	153355	+	0
mpneu29115	153189	153326	-	0
mpneu00828	153358	153417	+	0
mpneu24125	153376	153408	-	-1
mpneu05870	153437	153598	+	0
mpneu00829	153466	153474	+	-1
mpneu29114	153336	153494	-	0
mpneu24124	153409	153516	-	0
mpneu24123	153520	153549	-	-1
mpneu00830	153559	153606	+	-1
mpneu24122	153571	153594	-	-1
mpneu00831	153613	153720	+	0
mpneu24121	153622	153654	-	-1
mpneu29113	153525	153698	-	0
mpneu24120	153655	153717	-	0
mpneu29112	153717	153734	-	-1
mpneu00832	153766	153783	+	-1
mpneu00833	153790	153795	+	-1
mpneu24119	153805	153846	-	-1
mpneu00834	153856	153861	+	-1
mpneu29111	153780	153866	-	0
mpneu00835	153886	153924	+	-1
mpneu00836	153925	154038	+	0
mpneu24118	153907	153990	-	0
mpneu24117	154030	154047	-	-1
mpneu00837	154093	154143	+	-1
mpneu29110	153921	154112	-	0
mpneu24116	154087	154116	-	-1
mpneu00838	154144	154158	+	-1
mpneu24115	154123	154161	-	-1
mpneu00839	154192	154278	+	0
mpneu24114	154171	154197	-	-1
mpneu29109	154140	154229	-	0
mpneu29108	154275	154307	-	-1
mpneu00840	154324	154329	+	-1
mpneu24113	154234	154347	-	0
mpneu24112	154357	154374	-	-1
mpneu24111	154375	154395	-	-1
mpneu00841	154411	154434	+	-1
mpneu00842	154450	154470	+	-1
mpneu29107	154431	154460	-	-1
mpneu24110	154444	154476	-	-1
mpneu00843	154492	154518	+	-1
mpneu05871	154523	154600	+	0
mpneu00844	154528	154575	+	-1
mpneu29106	154515	154562	-	-1
mpneu00845	154594	154620	+	-1
mpneu29105	154572	154610	-	-1
mpneu00846	154621	154635	+	-1
mpneu29104	154632	154643	-	-1
mpneu19029	153269	154645	-	0
mpneu29103	154653	154679	-	-1
mpneu05872	154682	154714	+	-1
mpneu29102	154728	154742	-	-1
mpneu24109	154711	154767	-	-1
mpneu24108	154768	154812	-	-1
mpneu00847	154813	154872	+	0
mpneu19028	154658	154819	-	0
mpneu00848	154891	154938	+	-1
mpneu29101	154785	154910	-	0
mpneu29100	154920	154925	-	-1
mpneu19027	154841	154927	-	0
mpneu00849	154963	154971	+	-1
mpneu00850	154972	155040	+	0
mpneu00851	155041	155058	+	-1
mpneu19026	154955	155080	-	0
mpneu00852	155083	155121	+	-1
mpneu29099	155091	155156	-	0
mpneu00853	155164	155172	+	-1
mpneu00854	155176	155196	+	-1
mpneu29098	155169	155177	-	-1
mpneu19025	155108	155188	-	0
mpneu19024	155198	155221	-	-1
mpneu19023	155222	155266	-	-1
mpneu29097	155205	155276	-	0
mpneu05873	155276	155380	+	0
mpneu29096	155280	155297	-	-1
mpneu00855	155323	155976	+	MPN120
mpneu19022	155297	155344	-	-1
mpneu24107	155377	155409	-	-1
mpneu05874	155411	155536	+	0
mpneu24106	155425	155493	-	0
mpneu24105	155506	155511	-	-1
mpneu29095	155307	155600	-	0
mpneu05875	155624	155668	+	-1
mpneu19021	155600	155629	-	-1
mpneu24104	155533	155661	-	0
mpneu05876	155675	155725	+	-1
mpneu19020	155672	155695	-	-1
mpneu24103	155665	155721	-	-1
mpneu05877	155759	155779	+	-1
mpneu05878	155786	155947	+	0
mpneu29094	155730	155807	-	0
mpneu19019	155795	155848	-	-1
mpneu10771	155976	156341	+	MPN121
mpneu24102	155776	155985	-	0
mpneu00856	156007	156039	+	-1
mpneu29093	155907	156026	-	0
mpneu29092	156036	156071	-	-1
mpneu00857	156100	156111	+	-1
mpneu19018	155876	156121	-	0
mpneu00858	156124	156156	+	-1
mpneu00859	156163	156198	+	-1
mpneu29091	156153	156191	-	-1
mpneu00860	156205	156261	+	-1
mpneu24101	156181	156267	-	0
mpneu29090	156258	156272	-	-1
mpneu00861	156295	156354	+	0
mpneu19017	156122	156301	-	0
mpneu00862	156358	156426	+	0
mpneu05879	156401	156421	+	-1
mpneu24100	156280	156402	-	0
mpneu00863	156457	156477	+	-1
mpneu05880	156467	158374	+	MPN122
mpneu10772	156516	156524	+	-1
mpneu29089	156423	156554	-	0
mpneu19016	156512	156577	-	0
mpneu00864	156583	156633	+	-1
mpneu10773	156603	156671	+	0
mpneu10774	156678	156860	+	0
mpneu29088	156675	156710	-	-1
mpneu24099	156478	156741	-	0
mpneu19015	156650	156811	-	0
mpneu10775	156897	157028	+	0
mpneu00865	156931	156942	+	-1
mpneu29087	156915	156992	-	0
mpneu19014	156851	157012	-	0
mpneu10776	157032	157043	+	-1
mpneu10777	157086	157379	+	0
mpneu19013	157070	157186	-	0
mpneu19012	157265	157330	-	0
mpneu24098	156787	157353	-	0
mpneu10778	157386	157427	+	-1
mpneu10779	157464	157520	+	-1
mpneu24097	157354	157503	-	0
mpneu19011	157424	157525	-	0
mpneu19010	157529	157543	-	-1
mpneu10780	157569	157586	+	-1
mpneu10781	157587	157700	+	0
mpneu19009	157583	157645	-	0
mpneu29086	157662	157703	-	-1
mpneu10782	157740	157832	+	0
mpneu19008	157796	157801	-	-1
mpneu10783	157833	157886	+	-1
mpneu29085	157866	157889	-	-1
mpneu10784	157914	158042	+	0
mpneu19007	157883	157993	-	0
mpneu24096	157603	158013	-	0
mpneu10785	158043	158066	+	-1
mpneu19006	158039	158056	-	-1
mpneu24095	158026	158058	-	-1
mpneu29084	157959	158078	-	0
mpneu10786	158088	158192	+	0
mpneu19005	158063	158176	-	0
mpneu10787	158202	158252	+	-1
mpneu19004	158249	158293	-	-1
mpneu10788	158298	158387	+	0
mpneu24094	158113	158352	-	0
mpneu00866	158374	160743	+	MPN123
mpneu24093	158371	158391	-	-1
mpneu05881	158417	158545	+	0
mpneu24092	158398	158463	-	0
mpneu29083	158358	158516	-	0
mpneu24091	158482	158535	-	-1
mpneu29082	158520	158552	-	-1
mpneu19003	158495	158557	-	0
mpneu29081	158559	158564	-	-1
mpneu05882	158612	158644	+	-1
mpneu19002	158591	158653	-	0
mpneu24090	158542	158691	-	0
mpneu05883	158699	158710	+	-1
mpneu29080	158628	158708	-	0
mpneu05884	158711	158755	+	-1
mpneu05885	158768	158800	+	-1
mpneu29079	158736	158786	-	-1
mpneu05886	158807	158896	+	0
mpneu19001	158678	158854	-	0
mpneu05887	158906	158989	+	0
mpneu29078	158904	158912	-	-1
mpneu19000	158912	158923	-	-1
mpneu24089	158860	158928	-	0
mpneu10789	158979	159011	+	-1
mpneu05888	159005	159040	+	-1
mpneu05889	159047	159148	+	0
mpneu29077	158958	159068	-	0
mpneu18999	159008	159163	-	0
mpneu05890	159185	159208	+	-1
mpneu24088	159037	159195	-	0
mpneu05891	159212	159352	+	0
mpneu24087	159205	159348	-	0
mpneu05892	159377	159412	+	-1
mpneu29076	159069	159383	-	0
mpneu10790	159387	159458	+	0
mpneu05893	159419	159433	+	-1
mpneu05894	159437	159478	+	-1
mpneu24086	159430	159444	-	-1
mpneu18998	159455	159481	-	-1
mpneu05895	159536	159556	+	-1
mpneu05896	159563	159622	+	0
mpneu24085	159619	159627	-	-1
mpneu05897	159638	159664	+	-1
mpneu05898	159689	159709	+	-1
mpneu24084	159661	159699	-	-1
mpneu24083	159706	159723	-	-1
mpneu05899	159740	159829	+	0
mpneu24082	159736	159753	-	-1
mpneu18997	159743	159778	-	-1
mpneu18996	159803	159823	-	-1
mpneu24081	159769	159825	-	-1
mpneu05900	159830	159838	+	-1
mpneu05901	159839	159943	+	0
mpneu24080	159835	159879	-	-1
mpneu24079	159892	159906	-	-1
mpneu29075	159414	159914	-	0
mpneu24078	159940	159951	-	-1
mpneu05902	159968	160000	+	-1
mpneu24077	159952	160005	-	-1
mpneu18995	160022	160036	-	-1
mpneu29074	160014	160061	-	-1
mpneu05903	160133	160150	+	-1
mpneu05904	160157	160162	+	-1
mpneu24076	160147	160182	-	-1
mpneu18994	160049	160204	-	0
mpneu10791	160206	160247	+	-1
mpneu18993	160259	160282	-	-1
mpneu05905	160313	160342	+	-1
mpneu24075	160195	160320	-	0
mpneu10792	160344	160406	+	0
mpneu18992	160334	160357	-	-1
mpneu05906	160370	160384	+	-1
mpneu18991	160373	160399	-	-1
mpneu05907	160418	160495	+	0
mpneu29073	160062	160442	-	0
mpneu18990	160433	160468	-	-1
mpneu05908	160508	160537	+	-1
mpneu05909	160565	160582	+	-1
mpneu29072	160521	160595	-	0
mpneu05910	160613	160681	+	0
mpneu24074	160579	160647	-	0
mpneu05911	160682	160690	+	-1
mpneu18989	160673	160708	-	-1
mpneu10793	160734	160826	+	0
mpneu24073	160696	160755	-	0
mpneu05912	160757	160807	+	-1
mpneu05913	160820	160855	+	-1
mpneu10794	160836	161069	+	0
mpneu05914	160856	160921	+	0
mpneu05915	160964	161011	+	-1
mpneu24072	160924	160995	-	0
mpneu24071	161014	161046	-	-1
mpneu05916	161054	161065	+	-1
mpneu05917	161069	161188	+	0
mpneu10795	161073	161081	+	-1
mpneu00867	161092	161118	+	-1
mpneu10796	161142	161294	+	0
mpneu24070	161062	161148	-	0
mpneu24069	161185	161193	-	-1
mpneu05918	161198	161335	+	0
mpneu00868	161221	161232	+	-1
mpneu29071	161241	161258	-	-1
mpneu24068	161194	161322	-	0
mpneu00869	161344	161367	+	-1
mpneu10797	161367	161561	+	0
mpneu24067	161332	161376	-	-1
mpneu24066	161383	161397	-	-1
mpneu05919	161405	161413	+	-1
mpneu24065	161449	161475	-	-1
mpneu00870	161476	161499	+	-1
mpneu05920	161483	161509	+	-1
mpneu24064	161506	161559	-	-1
mpneu10798	161601	161621	+	-1
mpneu05921	161603	161695	+	0
mpneu00871	161656	161679	+	-1
mpneu24063	161692	161727	-	-1
mpneu10799	161736	161798	+	0
mpneu05922	161756	161776	+	-1
mpneu18988	160730	161785	-	MPN124
mpneu00872	161806	161853	+	-1
mpneu10800	161817	163577	+	MPN125
mpneu18987	161801	161833	-	-1
mpneu24062	161845	161862	-	-1
mpneu05923	161885	161929	+	-1
mpneu00873	161893	161994	+	0
mpneu18986	161879	161935	-	-1
mpneu29070	161850	161954	-	0
mpneu24061	161959	161967	-	-1
mpneu24060	161977	161991	-	-1
mpneu00874	162004	162057	+	-1
mpneu18985	161954	162082	-	0
mpneu00875	162115	162258	+	0
mpneu18984	162125	162241	-	0
mpneu24059	162148	162270	-	0
mpneu18983	162242	162277	-	-1
mpneu05924	162278	162325	+	-1
mpneu00876	162289	162429	+	0
mpneu05925	162329	162406	+	0
mpneu18982	162314	162334	-	-1
mpneu24058	162322	162360	-	-1
mpneu29069	162270	162410	-	0
mpneu00877	162460	162519	+	0
mpneu24057	162457	162486	-	-1
mpneu29068	162426	162491	-	0
mpneu18981	162368	162550	-	0
mpneu24056	162550	162558	-	-1
mpneu00878	162568	162606	+	-1
mpneu29067	162522	162569	-	-1
mpneu18980	162581	162610	-	-1
mpneu00879	162619	162642	+	-1
mpneu29066	162603	162638	-	-1
mpneu18979	162623	162649	-	-1
mpneu00880	162664	162771	+	0
mpneu24055	162610	162675	-	0
mpneu29065	162669	162725	-	-1
mpneu00881	162814	162888	+	0
mpneu24054	162817	162828	-	-1
mpneu29064	162789	162857	-	0
mpneu18978	162728	162871	-	0
mpneu05926	162896	162916	+	-1
mpneu00882	162925	162948	+	-1
mpneu29063	162885	162944	-	0
mpneu00883	162991	163182	+	0
mpneu18977	162878	162997	-	0
mpneu29062	162957	163019	-	0
mpneu18976	163004	163054	-	-1
mpneu24053	162988	163074	-	0
mpneu18975	163079	163111	-	-1
mpneu29061	163068	163166	-	0
mpneu00884	163183	163194	+	-1
mpneu00885	163195	163230	+	-1
mpneu00886	163240	163284	+	-1
mpneu29060	163191	163265	-	0
mpneu29059	163281	163313	-	-1
mpneu00887	163315	163323	+	-1
mpneu00888	163345	163620	+	0
mpneu18974	163115	163351	-	0
mpneu29058	163320	163451	-	0
mpneu29057	163461	163496	-	-1
mpneu24052	163432	163527	-	0
mpneu05927	163532	163582	+	-1
mpneu29056	163500	163532	-	-1
mpneu18973	163370	163561	-	0
mpneu18972	163574	163585	-	-1
mpneu24051	163579	163587	-	-1
mpneu05928	163613	164092	+	MPN126
mpneu24050	163603	163641	-	-1
mpneu10801	163644	163667	+	-1
mpneu18971	163631	163645	-	-1
mpneu00889	163660	163728	+	0
mpneu10802	163692	163697	+	-1
mpneu10803	163704	163721	+	-1
mpneu18970	163664	163717	-	-1
mpneu10804	163746	163811	+	0
mpneu00890	163756	163770	+	-1
mpneu18969	163718	163798	-	0
mpneu10805	163824	163832	+	-1
mpneu10806	163857	163922	+	0
mpneu24049	163648	163866	-	0
mpneu00891	163870	163878	+	-1
mpneu18968	163829	163894	-	0
mpneu00892	163909	163980	+	0
mpneu10807	163923	163943	+	-1
mpneu24048	163903	163941	-	-1
mpneu18967	163919	163948	-	-1
mpneu10808	163950	163994	+	-1
mpneu10809	164061	164069	+	-1
mpneu18966	164066	164077	-	-1
mpneu24047	164089	164115	-	-1
mpneu29055	164022	164126	-	0
mpneu10810	164160	164318	+	0
mpneu18965	164135	164188	-	-1
mpneu05929	164189	164194	+	-1
mpneu00893	164206	164268	+	0
mpneu24046	164182	164211	-	-1
mpneu05930	164228	164245	+	-1
mpneu24045	164242	164289	-	-1
mpneu18964	164204	164311	-	0
mpneu00894	164320	164397	+	0
mpneu29054	164166	164345	-	0
mpneu10811	164361	164390	+	-1
mpneu05931	164369	164380	+	-1
mpneu05932	164381	164455	+	0
mpneu10812	164391	164450	+	0
mpneu29053	164394	164414	-	-1
mpneu24044	164452	164460	-	-1
mpneu10813	164469	164474	+	-1
mpneu10814	164484	165026	+	MPN127
mpneu29052	164493	164513	-	-1
mpneu18963	164462	164524	-	0
mpneu05933	164534	164560	+	-1
mpneu24043	164557	164580	-	-1
mpneu00895	164599	164616	+	-1
mpneu24042	164605	164622	-	-1
mpneu00896	164623	164814	+	0
mpneu18962	164567	164650	-	0
mpneu05934	164666	164701	+	-1
mpneu29051	164514	164672	-	0
mpneu18961	164702	164731	-	-1
mpneu00897	164818	164904	+	0
mpneu29050	164688	164900	-	0
mpneu00898	164911	164940	+	-1
mpneu29049	164901	164924	-	-1
mpneu05935	164951	165259	+	0
mpneu29048	164937	164966	-	-1
mpneu18960	164756	164974	-	0
mpneu10815	165087	165110	+	-1
mpneu29047	165093	165116	-	-1
mpneu10816	165129	165152	+	-1
mpneu29046	165135	165158	-	-1
mpneu10817	165171	165194	+	-1
mpneu24041	164833	165255	-	0
mpneu00899	165307	165330	+	-1
mpneu29045	165303	165326	-	-1
mpneu10818	165330	165380	+	-1
mpneu05936	165374	165523	+	0
mpneu00900	165394	165420	+	-1
mpneu00901	165424	165462	+	-1
mpneu10819	165456	165488	+	-1
mpneu24040	165337	165465	-	0
mpneu29044	165417	165473	-	-1
mpneu00902	165490	165537	+	-1
mpneu18959	165377	165514	-	0
mpneu10820	165516	165797	+	0
mpneu24039	165481	165561	-	0
mpneu24038	165574	165582	-	-1
mpneu00903	165595	165618	+	-1
mpneu00904	165622	165645	+	-1
mpneu00905	165691	165723	+	-1
mpneu29043	165615	165698	-	0
mpneu00906	165742	165780	+	-1
mpneu29042	165702	165773	-	0
mpneu18958	165716	165793	-	0
mpneu05937	165818	165916	+	0
mpneu10821	165867	166262	+	0
mpneu24037	165655	165882	-	0
mpneu18957	165794	165901	-	0
mpneu29041	165777	165950	-	0
mpneu00907	165955	165975	+	-1
mpneu05938	165980	165994	+	-1
mpneu00908	166024	166050	+	-1
mpneu05939	166040	166069	+	-1
mpneu00909	166087	166215	+	0
mpneu29040	166047	166100	-	-1
mpneu18956	165917	166231	-	0
mpneu05940	166268	166726	+	0
mpneu00910	166282	166932	+	MPN128
mpneu10822	166305	166718	+	0
mpneu24036	166066	166347	-	0
mpneu29039	166212	166358	-	0
mpneu24035	166378	166419	-	-1
mpneu18955	166259	166576	-	0
mpneu24034	166432	166689	-	0
mpneu29038	166404	166799	-	0
mpneu10823	166851	166976	+	0
mpneu18954	166739	166870	-	0
mpneu24033	166723	166905	-	0
mpneu00911	166933	166950	+	-1
mpneu00912	166963	166989	+	-1
mpneu24032	166951	166968	-	-1
mpneu29037	166947	166970	-	-1
mpneu29036	166986	167000	-	-1
mpneu00913	167005	167016	+	-1
mpneu24031	167020	167028	-	-1
mpneu00914	167044	167067	+	-1
mpneu29035	167013	167057	-	-1
mpneu00915	167080	167235	+	0
mpneu05941	167117	167134	+	-1
mpneu10824	167121	167168	+	-1
mpneu29034	167064	167126	-	0
mpneu24030	167131	167166	-	-1
mpneu18953	166994	167176	-	0
mpneu05942	167177	167284	+	0
mpneu10825	167187	167735	+	0
mpneu00916	167257	167343	+	0
mpneu24029	167239	167289	-	-1
mpneu05943	167297	167311	+	-1
mpneu29033	167220	167318	-	0
mpneu18952	167252	167329	-	0
mpneu05944	167351	167377	+	-1
mpneu00917	167359	167472	+	0
mpneu05945	167381	167431	+	-1
mpneu29032	167346	167420	-	0
mpneu24028	167374	167427	-	-1
mpneu05946	167432	167440	+	-1
mpneu05947	167441	167476	+	-1
mpneu29031	167454	167462	-	-1
mpneu18951	167387	167539	-	0
mpneu05948	167585	167674	+	0
mpneu29030	167562	167597	-	-1
mpneu00918	167632	168081	+	MPN129
mpneu18950	167630	167665	-	-1
mpneu24027	167581	167709	-	0
mpneu05949	167720	167755	+	-1
mpneu29029	167604	167759	-	0
mpneu18949	167732	167761	-	-1
mpneu05950	167774	167794	+	-1
mpneu05951	167810	167821	+	-1
mpneu10826	167823	167831	+	-1
mpneu18948	167828	167860	-	-1
mpneu24026	167839	167871	-	-1
mpneu05952	167879	167896	+	-1
mpneu05953	167900	167944	+	-1
mpneu05954	167960	167977	+	-1
mpneu10827	167985	168032	+	-1
mpneu05955	168011	168037	+	-1
mpneu18947	167918	168016	-	0
mpneu29028	167883	168023	-	0
mpneu18946	168029	168085	-	-1
mpneu29027	168054	168125	-	0
mpneu00919	168151	168702	+	0
mpneu05956	168161	168223	+	0
mpneu18945	168260	168274	-	-1
mpneu05957	168275	168556	+	0
mpneu10828	168384	168446	+	0
mpneu24025	168064	168471	-	0
mpneu18944	168488	168526	-	-1
mpneu29026	168159	168641	-	0
mpneu24024	168553	168651	-	0
mpneu05958	168665	168688	+	-1
mpneu10829	168681	168785	+	0
mpneu00920	168733	168768	+	-1
mpneu24023	168727	168750	-	-1
mpneu29025	168711	168764	-	-1
mpneu18943	168674	168775	-	0
mpneu05959	168788	169042	+	0
mpneu10830	168834	168854	+	-1
mpneu10831	168858	168896	+	-1
mpneu18942	168851	168877	-	-1
mpneu29024	168855	168890	-	-1
mpneu10832	168909	168944	+	-1
mpneu18941	168902	168928	-	-1
mpneu10833	168981	169064	+	0
mpneu29023	168954	168998	-	-1
mpneu24022	168754	169014	-	0
mpneu00921	169042	169464	+	MPN130
mpneu05960	169082	169228	+	0
mpneu10834	169122	169136	+	-1
mpneu18940	169202	169261	-	0
mpneu05961	169283	169318	+	-1
mpneu05962	169328	169381	+	-1
mpneu24021	169039	169359	-	0
mpneu24020	169384	169404	-	-1
mpneu05963	169433	169444	+	-1
mpneu29022	169032	169493	-	0
mpneu10835	169512	169535	+	-1
mpneu18939	169457	169531	-	0
mpneu29021	169524	169538	-	-1
mpneu05964	169553	169624	+	0
mpneu00922	169561	169695	+	0
mpneu18938	169532	169570	-	-1
mpneu10836	169611	169727	+	0
mpneu29020	169542	169616	-	0
mpneu05965	169628	169684	+	-1
mpneu18937	169595	169666	-	0
mpneu24019	169621	169677	-	-1
mpneu29019	169692	169703	-	-1
mpneu18936	169685	169723	-	-1
mpneu05966	169730	169936	+	0
mpneu10837	169776	169814	+	-1
mpneu24018	169681	169797	-	0
mpneu10838	169821	169919	+	0
mpneu29018	169740	169829	-	0
mpneu00923	169843	169866	+	-1
mpneu29017	169863	169901	-	-1
mpneu24017	169816	169923	-	0
mpneu00924	169924	169953	+	-1
mpneu05967	169937	169963	+	-1
mpneu29016	169950	169961	-	-1
mpneu18935	169916	169972	-	-1
mpneu05968	169979	170152	+	0
mpneu10839	169989	170117	+	0
mpneu29015	170004	170042	-	-1
mpneu00925	170068	170733	+	MPN131
mpneu24016	169966	170172	-	0
mpneu05969	170174	170251	+	0
mpneu18934	169982	170197	-	0
mpneu05970	170252	170296	+	-1
mpneu24015	170248	170280	-	-1
mpneu29014	170076	170312	-	0
mpneu10840	170337	170351	+	-1
mpneu05971	170345	170458	+	0
mpneu24014	170293	170361	-	0
mpneu05972	170480	170494	+	-1
mpneu05973	170498	170668	+	0
mpneu29013	170373	170522	-	0
mpneu24013	170455	170589	-	0
mpneu10841	170616	171245	+	0
mpneu18933	170393	170704	-	0
mpneu29012	170532	170711	-	0
mpneu05974	170714	170836	+	0
mpneu18932	170720	170755	-	-1
mpneu00926	170767	171009	+	0
mpneu24012	170833	170859	-	-1
mpneu29011	170730	170894	-	0
mpneu24011	170878	170907	-	-1
mpneu18931	170810	170923	-	0
mpneu05975	170936	170959	+	-1
mpneu05976	171002	171064	+	0
mpneu29010	171006	171032	-	-1
mpneu00927	171049	171819	+	MPN132
mpneu05977	171065	171103	+	-1
mpneu24010	171061	171093	-	-1
mpneu18930	171026	171130	-	0
mpneu05978	171134	171433	+	0
mpneu24009	171100	171231	-	0
mpneu18929	171236	171262	-	-1
mpneu29009	171045	171377	-	0
mpneu24008	171274	171393	-	0
mpneu05979	171494	171805	+	0
mpneu18928	171443	171547	-	0
mpneu24007	171430	171645	-	0
mpneu10842	171657	171725	+	0
mpneu18927	171587	171679	-	0
mpneu29008	171384	171782	-	0
mpneu10843	171798	171965	+	0
mpneu00928	171832	171894	+	0
mpneu24006	171841	171849	-	-1
mpneu29007	171891	171902	-	-1
mpneu05980	171914	171940	+	-1
mpneu00929	171919	172083	+	0
mpneu24005	171937	171954	-	-1
mpneu05981	171977	171982	+	-1
mpneu10844	171996	172013	+	-1
mpneu18926	171767	172009	-	0
mpneu10845	172014	172046	+	-1
mpneu29006	171972	172031	-	0
mpneu18925	172010	172039	-	-1
mpneu05982	172046	172060	+	-1
mpneu24004	171958	172053	-	0
mpneu10846	172095	172196	+	0
mpneu05983	172115	172123	+	-1
mpneu18924	172043	172135	-	0
mpneu24003	172138	172146	-	-1
mpneu18923	172175	172204	-	-1
mpneu18922	172205	172210	-	-1
mpneu24002	172198	172212	-	-1
mpneu29005	172182	172223	-	-1
mpneu10847	172227	172232	+	-1
mpneu05984	172244	172270	+	-1
mpneu24001	172213	172251	-	-1
mpneu29004	172257	172265	-	-1
mpneu05985	172277	173182	+	MPN133
mpneu00930	172291	172512	+	0
mpneu24000	172306	172350	-	-1
mpneu18921	172235	172390	-	0
mpneu18920	172391	172405	-	-1
mpneu10848	172443	172631	+	0
mpneu23999	172366	172467	-	0
mpneu29003	172371	172475	-	0
mpneu23998	172468	172620	-	0
mpneu29002	172521	172637	-	0
mpneu10849	172647	172652	+	-1
mpneu18919	172415	172648	-	0
mpneu23997	172621	172671	-	-1
mpneu10850	172674	172724	+	-1
mpneu00931	172744	172803	+	0
mpneu29001	172728	172757	-	-1
mpneu23996	172708	172764	-	-1
mpneu10851	172773	172844	+	0
mpneu10852	172851	172892	+	-1
mpneu18918	172793	172864	-	0
mpneu29000	172866	172874	-	-1
mpneu10853	172917	172934	+	-1
mpneu10854	172935	172955	+	-1
mpneu23995	172771	172968	-	0
mpneu00932	172996	173064	+	0
mpneu10855	173004	173048	+	-1
mpneu18917	172952	173005	-	-1
